step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
511	147.186	0	none	0	703	0	703	not_attempted
512	147.461	0	none	0	703	0	703	not_attempted
513	147.749	0	none	0	703	0	703	not_attempted
514	148.027	0	none	0	703	0	703	not_attempted
515	148.303	0	none	0	703	0	703	not_attempted
516	148.575	0	none	0	703	0	703	not_attempted
517	148.851	0	none	0	703	0	703	not_attempted
518	149.129	0	none	0	703	0	703	not_attempted
519	149.407	0	none	0	703	0	703	not_attempted
520	149.677	0	none	0	703	0	703	not_attempted
521	149.970	0	none	0	703	0	703	not_attempted
522	150.243	0	none	0	703	0	703	not_attempted
523	150.580	0	none	0	703	0	703	not_attempted
524	150.859	0	none	0	703	0	703	not_attempted
525	151.131	0	none	0	703	0	703	not_attempted
526	151.405	0	none	0	703	0	703	not_attempted
527	151.675	0	none	0	703	0	703	not_attempted
528	151.955	0	none	0	703	0	703	not_attempted
529	152.223	0	none	0	703	0	703	not_attempted
530	152.566	0	none	0	703	0	703	not_attempted
531	152.897	0	none	0	703	0	703	not_attempted
532	153.211	0	none	0	703	0	703	not_attempted
533	153.488	0	none	0	703	0	703	not_attempted
534	153.775	0	none	0	703	0	703	not_attempted
535	154.044	0	none	0	703	0	703	not_attempted
536	154.322	0	none	0	703	0	703	not_attempted
537	154.605	0	none	0	703	0	703	not_attempted
538	154.883	0	none	0	703	0	703	not_attempted
539	155.159	0	none	0	703	0	703	not_attempted
540	155.430	0	none	0	703	0	703	not_attempted
541	155.706	0	none	0	703	0	703	not_attempted
542	155.987	0	none	0	703	0	703	not_attempted
543	156.263	0	none	0	703	0	703	not_attempted
544	156.538	0	none	0	703	0	703	not_attempted
545	156.818	0	none	0	703	0	703	not_attempted
546	157.093	0	none	0	703	0	703	not_attempted
547	157.371	0	none	0	703	0	703	not_attempted
548	157.666	1	lidar	0	703	82	565	replanned
549	158.020	0	none	0	565	0	565	not_attempted
550	158.310	0	none	0	565	0	565	not_attempted
551	158.596	0	none	0	565	0	565	not_attempted
552	158.877	0	none	0	565	0	565	not_attempted
553	159.151	0	none	0	565	0	565	not_attempted
554	159.441	1	lidar	0	565	80	548	replanned
555	159.787	0	none	0	548	0	548	not_attempted
556	160.064	0	none	0	548	0	548	not_attempted
557	160.338	0	none	0	548	0	548	not_attempted
558	160.616	0	none	0	548	0	548	not_attempted
559	160.887	0	none	0	548	0	548	not_attempted
560	161.166	0	none	0	548	0	548	not_attempted
561	161.442	1	lidar	0	548	78	532	replanned
562	161.762	0	none	0	532	0	532	not_attempted
563	162.047	0	none	0	532	0	532	not_attempted
564	162.320	0	none	0	532	0	532	not_attempted
565	162.628	0	none	0	532	0	532	not_attempted
566	162.903	0	none	0	532	0	532	not_attempted
567	163.181	0	none	0	532	0	532	not_attempted
568	163.467	0	none	0	532	0	532	not_attempted
569	163.745	0	none	0	532	0	532	not_attempted
570	164.017	0	none	0	532	0	532	not_attempted
571	164.292	0	none	0	532	0	532	not_attempted
572	164.576	1	lidar	0	532	74	501	replanned
573	164.940	0	none	0	501	0	501	not_attempted
