timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
63,69.970700,840.039000,70.001300,-126.800003,-0.599024,0.800731,0.000000,-0.800731,-0.599024,0.000000,0.000000,0.000000,1.000000,0
64,69.970700,840.039000,70.001300,-126.800003,-0.599024,0.800731,0.000000,-0.800731,-0.599024,0.000000,0.000000,0.000000,1.000000,0
65,29.980500,799.999900,70.001300,-128.800003,-0.626604,0.779338,0.000000,-0.779338,-0.626604,0.000000,0.000000,0.000000,1.000000,0
66,29.980500,799.999900,70.001300,-128.800003,-0.626604,0.779338,0.000000,-0.779338,-0.626604,0.000000,0.000000,0.000000,1.000000,0
67,29.980500,799.999900,70.001300,-128.800003,-0.626604,0.779338,0.000000,-0.779338,-0.626604,0.000000,0.000000,0.000000,1.000000,0
68,29.980500,799.999900,70.001300,-128.800003,-0.626604,0.779338,0.000000,-0.779338,-0.626604,0.000000,0.000000,0.000000,1.000000,0
69,-10.009800,760.058500,70.001300,-130.900009,-0.654741,0.755853,0.000000,-0.755853,-0.654741,0.000000,0.000000,0.000000,1.000000,0
70,-10.009800,760.058500,70.001300,-130.900009,-0.654741,0.755853,0.000000,-0.755853,-0.654741,0.000000,0.000000,0.000000,1.000000,0
71,-10.009800,760.058500,70.001300,-130.900009,-0.654741,0.755853,0.000000,-0.755853,-0.654741,0.000000,0.000000,0.000000,1.000000,0
72,-10.009800,760.058500,70.001300,-130.900009,-0.654741,0.755853,0.000000,-0.755853,-0.654741,0.000000,0.000000,0.000000,1.000000,0
73,-60.009800,720.019500,79.998900,-135.300003,-0.710800,0.703395,0.000000,-0.703395,-0.710800,0.000000,0.000000,0.000000,1.000000,0
74,-60.009800,720.019500,79.998900,-135.300003,-0.710800,0.703395,0.000000,-0.703395,-0.710800,0.000000,0.000000,0.000000,1.000000,0
75,-50.000000,729.980400,79.998900,-132.800003,-0.679441,0.733730,0.000000,-0.733730,-0.679441,0.000000,0.000000,0.000000,1.000000,0
76,-50.000000,729.980400,79.998900,-132.800003,-0.679441,0.733730,0.000000,-0.733730,-0.679441,0.000000,0.000000,0.000000,1.000000,0
77,-50.000000,729.980400,79.998900,-132.800003,-0.679441,0.733730,0.000000,-0.733730,-0.679441,0.000000,0.000000,0.000000,1.000000,0
78,-50.000000,729.980400,79.998900,-132.800003,-0.679441,0.733730,0.000000,-0.733730,-0.679441,0.000000,0.000000,0.000000,1.000000,0
79,-39.990200,729.980400,79.998900,-131.699997,-0.665230,0.746638,0.000000,-0.746638,-0.665230,0.000000,0.000000,0.000000,1.000000,0
80,-39.990200,729.980400,79.998900,-131.699997,-0.665230,0.746638,0.000000,-0.746638,-0.665230,0.000000,0.000000,0.000000,1.000000,0
81,-39.990200,729.980400,79.998900,-131.699997,-0.665230,0.746638,0.000000,-0.746638,-0.665230,0.000000,0.000000,0.000000,1.000000,0
82,-30.029300,740.039000,70.001300,-131.300003,-0.660002,0.751264,0.000000,-0.751264,-0.660002,0.000000,0.000000,0.000000,1.000000,0
83,-30.029300,740.039000,70.001300,-131.300003,-0.660002,0.751264,0.000000,-0.751264,-0.660002,0.000000,0.000000,0.000000,1.000000,0
84,-30.029300,740.039000,70.001300,-131.300003,-0.660002,0.751264,0.000000,-0.751264,-0.660002,0.000000,0.000000,0.000000,1.000000,0
85,-30.029300,749.999900,79.998900,-133.000000,-0.681998,0.731354,0.000000,-0.731354,-0.681998,0.000000,0.000000,0.000000,1.000000,0
86,-30.029300,749.999900,79.998900,-133.000000,-0.681998,0.731354,0.000000,-0.731354,-0.681998,0.000000,0.000000,0.000000,1.000000,0
87,-20.019500,770.019500,79.998900,-135.199997,-0.709571,0.704634,0.000000,-0.704634,-0.709571,0.000000,0.000000,0.000000,1.000000,0
88,-20.019500,770.019500,79.998900,-135.199997,-0.709571,0.704634,0.000000,-0.704634,-0.709571,0.000000,0.000000,0.000000,1.000000,0
89,-20.019500,770.019500,79.998900,-135.199997,-0.709571,0.704634,0.000000,-0.704634,-0.709571,0.000000,0.000000,0.000000,1.000000,0
90,-10.009800,790.039000,70.001300,-137.900009,-0.741976,0.670426,0.000000,-0.670426,-0.741976,0.000000,0.000000,0.000000,1.000000,0
91,-10.009800,790.039000,70.001300,-137.900009,-0.741976,0.670426,0.000000,-0.670426,-0.741976,0.000000,0.000000,0.000000,1.000000,0
92,-10.009800,790.039000,70.001300,-137.900009,-0.741976,0.670426,0.000000,-0.670426,-0.741976,0.000000,0.000000,0.000000,1.000000,0
93,-10.009800,790.039000,70.001300,-137.900009,-0.741976,0.670426,0.000000,-0.670426,-0.741976,0.000000,0.000000,0.000000,1.000000,0
94,0.000000,810.058500,70.001300,-141.100006,-0.778243,0.627963,0.000000,-0.627963,-0.778243,0.000000,0.000000,0.000000,1.000000,0
95,0.000000,810.058500,70.001300,-141.100006,-0.778243,0.627963,0.000000,-0.627963,-0.778243,0.000000,0.000000,0.000000,1.000000,0
96,0.000000,810.058500,70.001300,-141.100006,-0.778243,0.627963,0.000000,-0.627963,-0.778243,0.000000,0.000000,0.000000,1.000000,0
97,19.970700,829.980400,70.001300,-144.100006,-0.810042,0.586372,0.000000,-0.586372,-0.810042,0.000000,0.000000,0.000000,1.000000,0
98,19.970700,829.980400,70.001300,-144.100006,-0.810042,0.586372,0.000000,-0.586372,-0.810042,0.000000,0.000000,0.000000,1.000000,0
99,19.970700,829.980400,70.001300,-144.100006,-0.810042,0.586372,0.000000,-0.586372,-0.810042,0.000000,0.000000,0.000000,1.000000,0
100,39.990200,860.058500,70.001300,-147.800003,-0.846193,0.532876,0.000000,-0.532876,-0.846193,0.000000,0.000000,0.000000,1.000000,0
101,39.990200,860.058500,70.001300,-147.800003,-0.846193,0.532876,0.000000,-0.532876,-0.846193,0.000000,0.000000,0.000000,1.000000,0
102,39.990200,860.058500,70.001300,-147.800003,-0.846193,0.532876,0.000000,-0.532876,-0.846193,0.000000,0.000000,0.000000,1.000000,0
103,60.009800,870.019500,70.001300,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
104,60.009800,870.019500,70.001300,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
105,60.009800,870.019500,70.001300,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
