step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
52	14.999	Running	0	0	1	0	0	0	649	614	-5665.400	-10082.300	1440.600	209.200	160.010	960.058	59.992	-119.200	0.000	0.000	20.000	0.659	3.300	0	13.600	0.000	0.000	0.000	-3700.000	-2820.020	5402.654	-193.544	686.437	101	99	94	94	52	447.067	457.839	-57.481	20.000	-0.659	0	0	0
53	15.270	Running	0	0	1	0	0	0	649	614	-5665.400	-10082.300	1440.600	209.200	160.010	960.058	59.992	-119.200	0.000	0.000	20.000	0.659	3.300	0	13.600	0.000	0.000	0.000	-3700.000	-2820.020	5402.654	-193.544	686.437	101	99	94	94	52	447.067	457.639	-57.481	20.000	-0.659	0	0	0
54	15.555	Running	0	0	1	0	0	0	649	609	-5665.600	-10082.700	1440.600	211.900	139.990	920.020	59.992	-121.900	0.448	44.765	20.000	0.659	3.700	0	14.000	0.400	44.765	0.000	-3700.000	-2820.020	5360.356	-213.563	666.417	100	98	93	93	51	435.102	457.229	-68.189	20.000	-0.641	0	0	0
55	15.827	Running	0	0	1	0	0	0	649	609	-5665.600	-10082.700	1440.600	211.900	139.990	920.020	59.992	-121.900	0.000	0.000	20.000	0.641	3.700	0	14.000	0.000	0.000	0.000	-3700.000	-2820.020	5360.356	-213.563	666.417	100	98	93	93	51	435.102	456.834	-68.189	20.000	-0.641	0	0	0
56	16.099	Running	0	0	1	0	0	0	649	609	-5665.600	-10082.700	1440.600	211.900	139.990	920.020	59.992	-121.900	0.000	0.000	20.000	0.641	3.700	0	14.000	0.000	0.000	0.000	-3700.000	-2820.020	5360.356	-213.563	666.417	100	98	93	93	51	435.102	456.453	-68.189	20.000	-0.641	0	0	0
57	16.374	Running	0	0	1	0	0	0	649	602	-5666.000	-10083.101	1440.600	214.500	100.000	879.980	59.992	-124.500	0.566	56.589	20.000	0.641	4.200	0	14.600	0.600	56.589	0.000	-3700.000	-2820.020	5303.772	-253.553	626.427	100	98	92	92	50	435.074	456.084	-65.621	20.000	-0.567	0	0	0
58	16.652	Running	0	0	1	0	0	0	649	602	-5666.000	-10083.101	1440.600	214.500	100.000	879.980	59.992	-124.500	0.000	0.000	20.000	0.567	4.200	0	14.600	0.000	0.000	0.000	-3700.000	-2820.020	5303.772	-253.553	626.427	100	98	92	92	50	435.074	455.728	-65.621	20.000	-0.567	0	0	0
59	16.924	Running	0	0	1	0	0	0	649	602	-5666.000	-10083.101	1440.600	214.500	100.000	879.980	59.992	-124.500	0.000	0.000	20.000	0.567	4.200	0	14.600	0.000	0.000	0.000	-3700.000	-2820.020	5303.772	-253.553	626.427	100	98	92	92	50	435.074	455.384	-65.621	20.000	-0.567	0	0	0
60	17.203	Running	0	0	1	0	0	0	649	602	-5666.000	-10083.101	1440.600	214.500	100.000	879.980	59.992	-124.500	0.000	0.000	20.000	0.567	4.200	0	14.600	0.000	0.000	0.000	-3700.000	-2820.020	5303.772	-253.553	626.427	100	98	92	92	50	435.074	455.051	-65.621	20.000	-0.567	0	0	0
61	17.474	Running	0	0	1	0	0	0	649	597	-5666.300	-10083.500	1440.700	216.800	69.971	840.039	70.001	-126.800	0.510	50.963	20.000	0.567	4.700	0	15.100	0.500	49.971	0.000	-3700.000	-2820.020	5254.399	-283.583	596.398	99	97	92	92	50	429.373	454.637	-69.653	20.000	-0.532	0	0	0
