step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	1	-106.667	39.704	328.039	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	2	-53.333	92.306	319.236	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	3	0.000	144.908	310.434	100	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	4	53.333	197.510	301.631	101	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	5	106.667	250.112	292.829	103	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.500	9.961	front	0.000	6	160.000	302.714	284.026	104	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	0	-160.000	-13.217	337.178	97	87	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	1	-106.667	39.369	328.284	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	2	-53.333	91.956	319.390	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	3	0.000	144.542	310.495	100	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	4	53.333	197.129	301.601	101	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	5	106.667	249.715	292.707	102	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	6	160.000	302.301	283.812	104	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	0	-160.000	-13.217	337.178	97	87	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	1	-106.667	39.369	328.284	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	2	-53.333	91.956	319.390	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	3	0.000	144.542	310.495	100	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	4	53.333	197.129	301.601	101	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	5	106.667	249.715	292.707	102	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	6	160.000	302.301	283.812	104	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	0	-160.000	-13.217	337.178	97	87	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	1	-106.667	39.369	328.284	98	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	2	-53.333	91.956	319.390	99	86	0
225	69.377	179.980	510.058	79.999	179.980	520.020	79.999	-99.600	9.961	front	0.000	3	0.000	144.542	310.495	100	86	0
