sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
10,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
10,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
10,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
10,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
10,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
10,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
11,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
11,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
11,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
11,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
11,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
11,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
11,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
11,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
11,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
11,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
12,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
12,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
12,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
12,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
12,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
12,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
12,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
12,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
12,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
12,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
13,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
13,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
13,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
13,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
13,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
13,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
13,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
13,10,290.140015,1291.499878,-138.297836,20.001301,1719.970703,-579.980530,20.001301,-38.400009
13,11,285.190002,1214.629883,-243.252670,20.001301,1719.970703,-579.980530,20.001301,-38.400009
13,12,692.030029,726.169617,-634.250305,20.001301,1719.970703,-579.980530,20.001301,-38.400009
14,1,567.590027,2527.349854,-891.431274,-174.125916,1719.970703,-579.980530,20.001301,-38.400009
14,3,533.789978,2190.915527,-1267.855591,-162.565628,1719.970703,-579.980530,20.001301,-38.400009
14,5,441.630005,2334.932617,-971.692688,-166.639603,1719.970703,-579.980530,20.001301,-38.400009
14,6,435.559998,2237.448975,-1085.829590,-164.074310,1719.970703,-579.980530,20.001301,-38.400009
14,7,407.329987,2135.041748,-120.688103,-119.313759,1719.970703,-579.980530,20.001301,-38.400009
14,8,401.769989,1370.840332,-1084.870117,-117.412132,1719.970703,-579.980530,20.001301,-38.400009
14,9,684.679993,1581.512695,435.859100,20.001301,1719.970703,-579.980530,20.001301,-38.400009
