step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
59	16.171	Running	229.980	1029.980	49.994	-108.500	5501.568	447.037	464.328	-123.573	756.408	52	625	50	-0.965	50.000	0.965	2.200	0	133.000	0	0	102	101	95	95	6.450	6.605	0.000	185.450	1	1
60	16.450	Running	229.980	1029.980	49.994	-109.000	5501.568	447.037	464.045	-123.573	756.408	52	625	50	-0.951	50.000	0.965	0.500	0	133.100	0	0	102	101	95	95	6.450	6.605	nan	15.070	0	0
61	16.705	Running	229.980	1029.980	49.994	-109.000	5501.568	447.037	463.770	-123.573	756.408	52	625	50	-0.951	50.000	0.951	0.500	0	133.100	0	0	102	101	95	95	6.450	6.605	nan	15.070	0	0
62	16.956	Running	229.980	1029.980	49.994	-109.000	5501.568	447.037	463.505	-123.573	756.408	52	625	50	-0.951	50.000	0.951	0.500	0	133.100	0	0	102	101	95	95	6.450	6.605	nan	15.070	0	0
63	17.206	Running	229.980	1029.980	49.994	-109.000	5501.568	447.037	463.247	-123.573	756.408	52	625	50	-0.951	50.000	0.951	0.500	0	133.100	0	0	102	101	95	95	6.450	6.605	nan	15.070	0	0
64	17.462	Running	219.971	1020.020	49.994	-110.600	5487.447	447.067	462.998	-133.583	746.398	52	623	50	-0.905	50.000	0.951	1.800	1	133.200	0	0	102	100	95	95	6.450	6.605	nan	263.080	0	0
65	17.719	Running	219.971	1020.020	49.994	-110.600	5487.447	447.067	462.757	-133.583	746.398	52	623	50	-0.905	50.000	0.905	1.800	1	133.200	0	0	102	100	95	95	6.450	6.605	nan	263.080	0	0
66	17.969	Running	219.971	1020.020	49.994	-110.600	5487.447	447.067	462.523	-133.583	746.398	52	623	50	-0.905	50.000	0.905	1.800	1	133.200	0	0	102	100	95	95	6.450	6.605	nan	263.080	0	0
67	18.224	Running	219.971	1020.020	49.994	-110.600	5487.447	447.067	462.295	-133.583	746.398	52	623	50	-0.905	50.000	0.905	1.800	1	133.200	0	0	102	100	95	95	6.450	6.605	nan	263.080	0	0
68	18.488	Running	210.010	1000.000	59.992	-112.100	5466.327	440.982	461.987	-143.544	736.437	51	621	50	-0.891	50.000	0.905	2.500	0	133.500	0	0	102	100	95	95	6.450	6.605	nan	171.900	0	0
69	18.757	Running	210.010	1000.000	59.992	-112.100	5466.327	440.982	461.687	-143.544	736.437	51	621	50	-0.891	50.000	0.891	2.500	0	133.500	0	0	102	100	95	95	6.450	6.605	nan	171.900	0	0
70	19.013	Running	210.010	1000.000	59.992	-112.100	5466.327	440.982	461.395	-143.544	736.437	51	621	50	-0.891	50.000	0.891	2.500	0	133.500	0	0	102	100	95	95	6.450	6.605	nan	171.900	0	0
71	19.306	Running	210.010	1000.000	59.992	-112.100	5466.327	440.982	461.111	-143.544	736.437	51	621	50	-0.891	50.000	0.891	2.500	0	133.500	0	0	102	100	95	95	6.450	6.605	nan	171.900	0	0
72	19.561	Running	210.010	990.039	59.992	-112.900	5459.370	435.102	460.755	-143.544	736.437	50	620	50	-0.899	50.000	0.891	0.800	0	133.600	0	0	102	100	95	95	6.450	6.605	nan	358.240	0	0
73	19.829	Running	210.010	990.039	59.992	-112.900	5459.370	435.102	460.408	-143.544	736.437	50	620	50	-0.899	50.000	0.899	0.800	0	133.600	0	0	102	100	95	95	6.450	6.605	nan	358.240	0	0
74	20.087	Running	210.010	990.039	59.992	-112.900	5459.370	435.102	460.071	-143.544	736.437	50	620	50	-0.899	50.000	0.899	0.800	0	133.600	0	0	102	100	95	95	6.450	6.605	nan	358.240	0	0
75	20.348	Running	210.010	990.039	59.992	-112.900	5459.370	435.102	459.743	-143.544	736.437	50	620	50	-0.899	50.000	0.899	0.800	1	133.600	0	0	102	100	95	95	6.450	6.605	nan	358.240	0	0
76	20.602	Running	200.000	990.039	59.992	-113.900	5452.206	441.012	459.499	-153.553	726.427	51	619	50	-0.840	50.000	0.899	1.600	1	133.700	0	0	102	100	94	94	6.450	6.605	0.000	337.030	1	1
77	20.852	Running	200.000	990.039	59.992	-113.900	5452.206	441.012	459.262	-153.553	726.427	51	619	50	-0.840	50.000	0.840	1.600	1	133.700	0	0	102	100	94	94	6.450	6.605	0.000	337.030	1	1
78	21.114	Running	200.000	990.039	59.992	-113.900	5452.206	441.012	459.031	-153.553	726.427	51	619	50	-0.840	50.000	0.840	1.600	1	133.700	0	0	102	100	94	94	6.450	6.605	0.000	337.030	1	1
79	21.375	Running	200.000	990.039	59.992	-113.900	5452.206	441.012	458.806	-153.553	726.427	51	619	50	-0.840	50.000	0.840	1.600	0	133.700	0	0	102	100	94	94	6.450	6.605	0.000	337.030	1	1
80	21.635	Running	200.000	979.980	59.992	-114.300	5445.181	435.074	458.513	-153.553	726.427	50	618	50	-0.859	50.000	0.840	0.000	0	133.700	0	0	102	100	94	94	6.450	6.605	0.000	257.490	1	1
81	21.927	Running	200.000	979.980	59.992	-114.300	5445.181	435.074	458.227	-153.553	726.427	50	618	50	-0.859	50.000	0.859	0.000	0	133.700	0	0	102	100	94	94	6.450	6.605	0.000	257.490	1	1
82	22.184	Running	200.000	979.980	59.992	-114.300	5445.181	435.074	457.948	-153.553	726.427	50	618	50	-0.859	50.000	0.859	0.000	0	133.700	0	0	102	100	94	94	6.450	6.605	0.000	257.490	1	1
83	22.441	Running	200.000	979.980	59.992	-114.300	5445.181	435.074	457.676	-153.553	726.427	50	618	50	-0.859	50.000	0.859	0.000	0	133.700	0	0	102	100	94	94	6.450	6.605	0.000	257.490	1	1
84	22.694	Running	189.990	970.020	59.992	-115.100	5431.061	435.102	457.410	-163.563	716.417	51	617	50	-0.836	50.000	0.859	1.400	0	133.800	0	0	101	99	94	94	6.450	6.605	nan	216.600	0	0
85	22.952	Running	189.990	970.020	59.992	-115.100	5431.061	435.102	457.151	-163.563	716.417	51	617	50	-0.836	50.000	0.836	1.400	0	133.800	0	0	101	99	94	94	6.450	6.605	nan	216.600	0	0
86	23.217	Running	189.990	970.020	59.992	-115.100	5431.061	435.102	456.898	-163.563	716.417	51	617	50	-0.836	50.000	0.836	1.400	0	133.800	0	0	101	99	94	94	6.450	6.605	nan	216.600	0	0
87	23.471	Running	189.990	970.020	59.992	-115.100	5431.061	435.102	456.650	-163.563	716.417	51	617	50	-0.836	50.000	0.836	1.400	1	133.800	0	0	101	99	94	94	6.450	6.605	nan	216.600	0	0
88	23.724	Running	169.971	960.058	59.992	-117.300	5409.775	441.041	456.474	-183.583	696.398	52	615	50	-0.742	50.000	0.836	3.000	1	134.000	0	0	101	99	94	94	6.450	6.605	nan	201.980	0	0
89	23.977	Running	169.971	960.058	59.992	-117.300	5409.775	441.041	456.303	-183.583	696.398	52	615	50	-0.742	50.000	0.742	3.000	1	134.000	0	0	101	99	94	94	6.450	6.605	nan	201.980	0	0
90	24.224	Running	169.971	960.058	59.992	-117.300	5409.775	441.041	456.135	-183.583	696.398	52	615	50	-0.742	50.000	0.742	3.000	1	134.000	0	0	101	99	94	94	6.450	6.605	nan	201.980	0	0
91	24.478	Running	169.971	940.039	59.992	-118.700	5395.805	429.373	455.844	-183.583	696.398	50	613	50	-0.764	50.000	0.742	1.400	0	134.200	0	0	101	99	94	94	6.450	6.605	nan	363.650	0	0
92	24.729	Running	169.971	940.039	59.992	-118.700	5395.805	429.373	455.560	-183.583	696.398	50	613	50	-0.764	50.000	0.764	1.400	0	134.200	0	0	101	99	94	94	6.450	6.605	nan	363.650	0	0
93	24.982	Running	169.971	940.039	59.992	-118.700	5395.805	429.373	455.281	-183.583	696.398	50	613	50	-0.764	50.000	0.764	1.400	0	134.200	0	0	101	99	94	94	6.450	6.605	nan	363.650	0	0
94	25.240	Running	169.971	940.039	59.992	-118.700	5395.805	429.373	455.008	-183.583	696.398	50	613	50	-0.764	50.000	0.764	1.400	0	134.200	0	0	101	99	94	94	6.450	6.605	nan	363.650	0	0
95	25.496	Running	169.971	940.039	59.992	-118.700	5395.805	429.373	454.741	-183.583	696.398	50	613	50	-0.764	50.000	0.764	1.400	0	134.200	0	0	101	99	94	94	6.450	6.605	nan	363.650	0	0
