step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
57	19.043	Replanned (559 pts)	-730.029	1090.039	89.996	-133.200	4873.811	453.613	464.147	-1092.606	817.453	56	559	50	-0.282	50.000	0.288	10.800	0	8.700	1	3	94	91	87	85	6.450	6.605	0.000	37.580	1	5
58	19.358	Running	-730.029	1090.039	89.996	-133.200	4873.811	453.613	463.969	-1092.606	817.453	56	559	50	-0.282	50.000	0.282	10.800	0	8.700	0	3	94	91	87	85	6.450	6.605	0.000	37.580	1	5
59	19.677	Replanned (551 pts)	-780.029	1040.039	89.996	-134.300	4803.127	453.613	463.796	-1142.606	767.453	56	551	50	-0.250	50.000	0.282	10.200	0	9.400	1	4	93	90	86	84	6.450	6.605	0.000	132.350	1	3
60	20.007	Running	-780.029	1040.039	89.996	-134.300	4803.127	453.613	463.629	-1142.606	767.453	56	551	50	-0.250	50.000	0.250	10.200	0	9.400	0	4	93	90	86	84	6.450	6.605	0.000	132.350	1	3
61	20.373	Running	-780.029	1040.039	89.996	-134.300	4803.127	453.613	463.468	-1142.606	767.453	56	551	50	-0.250	50.000	0.250	10.200	0	9.400	0	4	93	90	86	84	6.450	6.605	0.000	132.350	1	3
62	20.725	Replanned (551 pts)	-820.020	1050.000	99.994	-128.600	4781.040	428.804	462.917	-1142.588	767.471	56	551	50	-0.291	50.000	0.250	1.100	1	10.000	1	5	93	90	86	84	6.450	6.605	0.000	66.330	1	3
63	21.061	Running	-820.020	1050.000	99.994	-128.600	4781.040	428.804	462.384	-1142.588	767.471	56	551	50	-0.291	50.000	0.291	1.100	1	10.000	0	5	93	90	86	84	6.450	6.605	0.000	66.330	1	3
64	21.387	Running	-820.020	1050.000	99.994	-128.600	4781.040	428.804	461.868	-1142.588	767.471	56	551	50	-0.291	50.000	0.291	1.100	1	10.000	0	5	93	90	86	84	6.450	6.605	0.000	66.330	1	3
65	21.721	Running	-850.000	1050.000	99.994	-121.000	4759.451	492.939	462.339	-1203.553	706.505	58	543	50	-0.424	50.000	0.291	0.200	0	10.300	0	5	92	90	85	83	6.450	6.605	0.000	51.900	1	2
66	22.016	Running	-850.000	1050.000	99.994	-121.000	4759.451	492.939	462.795	-1203.553	706.505	58	543	50	-0.424	50.000	0.424	0.200	0	10.300	0	5	92	90	85	83	6.450	6.605	0.000	51.900	1	2
