sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
12,12,602.510010,-335.450562,1664.547729,49.993999
12,15,906.500000,917.151245,-23.437201,49.993999
13,1,611.119995,685.923767,156.637955,-159.021347
13,5,532.559998,484.826538,193.818130,-175.075577
13,6,541.409973,336.364838,170.939041,-178.815735
13,7,392.299988,934.610046,1010.190247,-84.180496
13,8,396.899994,-271.004669,889.854004,-85.753792
13,9,689.619995,965.910645,1800.486206,49.993999
13,10,141.940002,363.705200,1457.640503,49.993999
13,11,139.869995,234.553574,1442.669189,49.993999
13,12,496.309998,-260.515625,1529.252686,49.993999
14,1,611.119995,685.923767,156.637955,-159.021347
14,5,532.559998,484.826538,193.818130,-175.075577
14,6,541.409973,336.364838,170.939041,-178.815735
14,7,392.299988,934.610046,1010.190247,-84.180496
14,8,396.899994,-271.004669,889.854004,-85.753792
14,9,689.619995,965.910645,1800.486206,49.993999
14,10,141.940002,363.705200,1457.640503,49.993999
14,11,139.869995,234.553574,1442.669189,49.993999
14,12,496.309998,-260.515625,1529.252686,49.993999
15,1,611.119995,685.923767,156.637955,-159.021347
15,5,532.559998,484.826538,193.818130,-175.075577
15,6,541.409973,336.364838,170.939041,-178.815735
15,7,392.299988,934.610046,1010.190247,-84.180496
15,8,396.899994,-271.004669,889.854004,-85.753792
15,9,689.619995,965.910645,1800.486206,49.993999
15,10,141.940002,363.705200,1457.640503,49.993999
15,11,139.869995,234.553574,1442.669189,49.993999
15,12,496.309998,-260.515625,1529.252686,49.993999
16,1,611.119995,685.923767,156.637955,-159.021347
16,5,532.559998,484.826538,193.818130,-175.075577
16,6,541.409973,336.364838,170.939041,-178.815735
16,7,392.299988,934.610046,1010.190247,-84.180496
16,8,396.899994,-271.004669,889.854004,-85.753792
16,9,689.619995,965.910645,1800.486206,49.993999
16,10,141.940002,363.705200,1457.640503,49.993999
16,11,139.869995,234.553574,1442.669189,49.993999
16,12,496.309998,-260.515625,1529.252686,49.993999
17,1,611.119995,685.923767,156.637955,-159.021347
17,5,532.559998,484.826538,193.818130,-175.075577
17,6,541.409973,336.364838,170.939041,-178.815735
17,7,392.299988,934.610046,1010.190247,-84.180496
17,8,396.899994,-271.004669,889.854004,-85.753792
17,9,689.619995,965.910645,1800.486206,49.993999
17,10,141.940002,363.705200,1457.640503,49.993999
17,11,139.869995,234.553574,1442.669189,49.993999
17,12,496.309998,-260.515625,1529.252686,49.993999
18,1,611.119995,685.923767,156.637955,-159.021347
18,5,532.559998,484.826538,193.818130,-175.075577
18,6,541.409973,336.364838,170.939041,-178.815735
