sim_time_s,pose_x_cm,pose_y_cm,pose_z_cm,yaw_deg,throttle_cmd,steer_cmd,speed_cm_s,near_rocks,near_bumps,near_craters,rock_attempts,rock_success,bump_attempts,bump_success,crater_attempts,crater_success,placed_rocks,placed_bumps,placed_craters,refresh_count,refresh_skipped_distance_gate,refresh_force,refresh_center_x_cm,refresh_center_y_cm,refresh_yaw_deg,refresh_rocks_near_before,refresh_bumps_near_before,refresh_craters_near_before,refresh_rocks_added,refresh_bumps_added,refresh_craters_added
29.874988049998127,2710.304443359375,-5469.328125,345.31219482421875,41.40693059897373,0.0,0.0,19.26942765712738,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2710.3043399856933,-5469.328112468711,41.40693059897373,0,0,0,0,0,0
30.124987949998104,2713.802490234375,-5466.1474609375,345.2374267578125,41.42498863900618,0.0,0.0,18.086454272270203,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2713.8025429424188,-5466.147563373444,41.42498863900618,0,0,0,0,0,0
30.37498784999808,2716.9951171875,-5463.26171875,345.1449279785156,41.43929849411827,0.0,0.0,15.935508906841278,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2716.9952112724386,-5463.261787886152,41.43929849411827,0,0,0,0,0,0
30.583321099998063,2719.31298828125,-5461.18798828125,345.0784606933594,41.44808557412561,0.0,0.0,13.769978284835815,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2719.313057192707,-5461.188099095955,41.44808557412561,0,0,0,0,0,0
30.70832104999805,2720.541015625,-5460.09814453125,345.0635986328125,41.45152503225041,0.0,0.0,12.489001452922821,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2720.5410254015096,-5460.097997479195,41.45152503225041,0,0,0,0,0,0
30.95832094999803,2722.751953125,-5458.14599609375,345.0309753417969,41.4623430371965,0.0,0.0,11.315428465604782,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2722.751868584685,-5458.146146252888,41.4623430371965,0,0,0,0,0,0
31.16665419999801,2724.538818359375,-5456.5654296875,344.9954833984375,41.477825959938336,0.0,0.0,11.567570269107819,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2724.5388091468963,-5456.565561086019,41.477825959938336,0,0,0,0,0,0
31.416654099997988,2726.799560546875,-5454.48974609375,344.9143371582031,41.51090808030526,0.0,0.0,12.892332673072815,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2726.799545567425,-5454.48978823349,41.51090808030526,0,0,0,0,0,0
31.541654049997977,2728.04052734375,-5453.36376953125,344.8640441894531,41.52943134805856,0.0,0.0,13.715001940727234,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2728.0405231202144,-5453.363863226356,41.52943134805856,0,0,0,0,0,0
31.791653949997954,2730.779541015625,-5450.9267578125,344.764404296875,41.563869671527605,0.0,0.0,15.27056097984314,10,2,2,33,14,106,62,15,4,14,2,4,68,1,0,2730.7795186001304,-5450.92674409527,41.563869671527605,0,0,0,0,0,0
