timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
89,-2780.029300,-8070.019600,9.991600,-111.699997,-0.369747,0.929133,0.000000,-0.929133,-0.369747,0.000000,0.000000,0.000000,1.000000,0
90,-2780.029300,-8070.019600,9.991600,-111.699997,-0.369747,0.929133,0.000000,-0.929133,-0.369747,0.000000,0.000000,0.000000,1.000000,0
91,-2780.029300,-8070.019600,9.991600,-111.699997,-0.369747,0.929133,0.000000,-0.929133,-0.369747,0.000000,0.000000,0.000000,1.000000,0
92,-2780.029300,-8050.000100,9.991600,-114.400009,-0.413105,0.910684,0.000000,-0.910684,-0.413105,0.000000,0.000000,0.000000,1.000000,0
93,-2780.029300,-8050.000100,9.991600,-114.400009,-0.413105,0.910684,0.000000,-0.910684,-0.413105,0.000000,0.000000,0.000000,1.000000,0
94,-2780.029300,-8050.000100,9.991600,-114.400009,-0.413105,0.910684,0.000000,-0.910684,-0.413105,0.000000,0.000000,0.000000,1.000000,0
95,-2780.029300,-8050.000100,9.991600,-114.400009,-0.413105,0.910684,0.000000,-0.910684,-0.413105,0.000000,0.000000,0.000000,1.000000,0
96,-2770.019500,-8020.019600,9.991600,-117.699997,-0.464842,0.885394,0.000000,-0.885394,-0.464842,0.000000,0.000000,0.000000,1.000000,0
97,-2770.019500,-8020.019600,9.991600,-117.699997,-0.464842,0.885394,0.000000,-0.885394,-0.464842,0.000000,0.000000,0.000000,1.000000,0
98,-2770.019500,-7989.941500,9.991600,-121.000000,-0.515038,0.857167,0.000000,-0.857167,-0.515038,0.000000,0.000000,0.000000,1.000000,0
99,-2770.019500,-7989.941500,9.991600,-121.000000,-0.515038,0.857167,0.000000,-0.857167,-0.515038,0.000000,0.000000,0.000000,1.000000,0
100,-2770.019500,-7989.941500,9.991600,-121.000000,-0.515038,0.857167,0.000000,-0.857167,-0.515038,0.000000,0.000000,0.000000,1.000000,0
101,-2760.009800,-7959.961000,9.991600,-124.800003,-0.570714,0.821149,0.000000,-0.821149,-0.570714,0.000000,0.000000,0.000000,1.000000,0
102,-2760.009800,-7959.961000,9.991600,-124.800003,-0.570714,0.821149,0.000000,-0.821149,-0.570714,0.000000,0.000000,0.000000,1.000000,0
103,-2760.009800,-7959.961000,9.991600,-124.800003,-0.570714,0.821149,0.000000,-0.821149,-0.570714,0.000000,0.000000,0.000000,1.000000,0
104,-2750.000000,-7929.980500,9.991600,-127.900009,-0.614285,0.789084,0.000000,-0.789084,-0.614285,0.000000,0.000000,0.000000,1.000000,0
